Show_Id,Cast,Country,Date_Added,Description,Director,Duration,Listed_In,Rating,Release_Year,Title,Type
S0001,Alan Marriott   Andrew Toth   Brian Dobson   Cole Howard   Jennifer Cameron   Jonathan Holmes   Lee Tockar   Lisa Durupt   Maya Kay   Michael Dobson,United States   India   South Korea   China,2019-09-09,Before planning an awesome wedding for his grandfather   a polar bear king must take back a stolen artifact from an evil archaeologist first.,Richard Finn   Tim Maltby,90 min,Children & Family Movies   Comedies,TV-PG,2019,Norm of the North: King Sized Adventure,Movie
S0002,Jandino Asporaat,United Kingdom,2016-09-09,Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of .....Sex on Fire..... in his comedy show.,Null,94 min,Stand-Up Comedy,TV-MA,2016,Jandino: Whatever it Takes,Movie
S0003,Peter Cullen   Sumalee Montano   Frank Welker   Jeffrey Combs   Kevin Michael Richardson   Tania Gunadi   Josh Keaton   Steve Blum   Andy Pessoa   Ernie Hudson   Daran Norris   Will Friedle,United States,2018-09-08,With the help of three human allies   the Autobots once again protect Earth from the onslaught of the Decepticons and their leader   Megatron.,Null,1 Season,Kids.. TV,TV-Y7-FV,2013,Transformers Prime,TV Show
S0004,Will Friedle   Darren Criss   Constance Zimmer   Khary Payton   Mitchell Whitfield   Stuart Allan   Ted McGinley   Peter Cullen,United States,2018-09-08,When a prison ship crash unleashes hundreds of Decepticons on Earth   Bumblebee leads a new Autobot force to protect humankind.,Null,1 Season,Kids.. TV,TV-Y7,2016,Transformers: Robots in Disguise,TV Show
S0005,Nesta Cooper   Kate Walsh   John Michael Higgins   Keith Powers   Alicia Sanz   Jake Borelli   Kid Ink   Yousef Erakat   Rebekah Graf   Anne Winters   Peter Gilroy   Patrick Davis,United States,2017-09-08,When nerdy high schooler Dani finally attracts the interest of her longtime crush   she lands in the cross hairs of his ex   a social media celebrity.,Fernando Lebrija,99 min,Comedies,TV-14,2017,#realityhigh,Movie
S0006,Alberto Ammann   Eloy Azorín   Verónica Echegui   Lucía Jiménez   Claudia Traisac,Spain,2017-09-08,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,Null,1 Season,Crime TV Shows   International TV Shows   Spanish-Language TV Shows,TV-MA,2016,Apaches,TV Show
S0007,Antonio Banderas   Dylan McDermott   Melanie Griffith   Birgitte Hjort Sørensen   Robert Forster   Christa Campbell   Tim McInnerny   Andy Nyman   David Ryall,Bulgaria   United States   Spain   Canada,2017-09-08,In a dystopian future   an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.,Gabe Ibáñez,110 min,International Movies   Sci-Fi & Fantasy   Thrillers,R,2014,Automata,Movie
S0008,Fabrizio Copano,Chile,2017-09-08,Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks   family WhatsApp groups and more.,Rodrigo Toro   Francisco Schultz,60 min,Stand-Up Comedy,TV-MA,2017,Fabrizio Copano: Solo pienso en mi,Movie
S0009,Null,United States,2017-09-08,As California..s 2016 fire season rages   brave backcountry firefighters race to put out the flames   protect homes and save lives in this docuseries.,Null,1 Season,Docuseries   Science & Nature TV,TV-MA,2017,Fire Chasers,TV Show
S0010,James Franco   Kate Hudson   Tom Wilkinson   Omar Sy   Sam Spruell   Anna Friel   Thomas Arnold   Oliver Dimsdale   Diana Hardcastle   Michael Jibson   Diarmaid Murtagh,United States   United Kingdom   Denmark   Sweden,2017-09-08,A struggling couple can..t believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,Henrik Ruben Genz,90 min,Action & Adventure   Thrillers,R,2014,Good People,Movie
S0011,Joaquín Reyes,Null,2017-09-08,Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses   bathroom habits   royalty and more.,José Miguel Contreras,78 min,Stand-Up Comedy,TV-MA,2017,Joaquín Reyes: Una y no más,Movie
S0012,Jim Sturgess   Sam Worthington   Ryan Kwanten   Anthony Hopkins   Mark van Eeuwen   Thomas Cocquerel   Jemima West   David Dencik,Netherlands   Belgium   United Kingdom   United States,2017-09-08,When beer magnate Alfred .....Freddy..... Heineken is kidnapped in 1983   his abductors make the largest ransom demand in history.,Daniel Alfredson,95 min,Action & Adventure   Dramas   International Movies,R,2015,Kidnapping Mr. Heineken,Movie
S0013,Damandeep Singh Baggan   Smita Malhotra   Baba Sehgal,Null,2017-09-08,A team of minstrels   including a monkey   cat and donkey   narrate folktales from the Indian regions of Rajasthan   Kerala and Punjab.,Null,58 min,Children & Family Movies,TV-Y7,2009,Krish Trish and Baltiboy,Movie
S0014,Damandeep Singh Baggan   Smita Malhotra   Baba Sehgal   Deepak Chachra,Null,2017-09-08,An artisan is cheated of his payment   a lion of his throne and a brother of his inheritance in these three stories of deception and justice.,Munjal Shroff   Tilak Shetty,62 min,Children & Family Movies,TV-Y7,2013,Krish Trish and Baltiboy: Battle of Wits,Movie
